table,column,type,definition,notes,owner
fact_encounter,TABLE_GRAIN,grain,"One row per patient encounter (visit). Covers all encounter types: office, procedure, imaging, surgery, telehealth.","Date range 2022-2024. Full dataset contains ~250,000 rows.",Clinical Operations
fact_referral,TABLE_GRAIN,grain,One row per referral order placed by a provider. A single encounter may generate multiple referrals.,is_external=1 indicates the referral left the network (leakage). is_external=0 means kept internal. Referrals to affiliated but independently owned practices may be inconsistently coded.,Revenue Cycle
fact_appointment,TABLE_GRAIN,grain,"One row per scheduled appointment slot. Independent of encounters -- not every appointment becomes an encounter (no-shows, cancellations) and not every encounter had a prior scheduled appointment (walk-ins, add-ons).",fact_appointment and fact_encounter are not joinable at the row level by design. This mirrors Epic's separate scheduling and clinical domains.,Clinical Operations
fact_claim_month,TABLE_GRAIN,grain,Pre-aggregated monthly rollup of claim financials by payer and location. One row per month/payer/location combination.,Monthly grain only. Cannot answer daily or weekly financial questions from this table. Use fact_encounter for encounter-level charge analysis.,Revenue Cycle
fact_denial_month,TABLE_GRAIN,grain,"Pre-aggregated monthly rollup of claim denials by payer, location, and top denial reason. One row per month/payer/location combination.",Monthly grain only. denial_reason_id is the most frequent denial reason for that month/payer/location group. Joins to dim_denial_reason for the reason description.,Revenue Cycle
fact_ar_month,TABLE_GRAIN,grain,Month-end accounts receivable snapshot by payer and location. Aging buckets show how long balances have been outstanding.,"Snapshot table -- each row represents the state of AR at month end, not a transaction. Use snapshot_month to filter to a specific period.",Revenue Cycle
dim_data_dictionary,TABLE_GRAIN,grain,"One row per documented column across all tables in the dataset. Use this table to look up field definitions, analytics guidance, and known caveats before answering questions.",Query this table first when uncertain about a field's meaning or correct usage. Mirrors how a production data catalog or dbt schema.yml documents a warehouse.,Data Governance
fact_encounter,encounter_id,pk,Unique identifier for each patient encounter.,Surrogate key. No business meaning. Used to join to fact_referral via encounter_id.,Clinical Operations
fact_encounter,service_date,date,Date the clinical service was rendered.,"Use this field for all encounter-level time analysis. Full date available -- day of week, month, year queries all supported.",Clinical Operations
fact_encounter,patient_id,fk,Foreign key to dim_patient. Links encounter to patient demographics and first visit date.,New patient identification: join to dim_patient and compare service_date to first_visit_date. If service_date is within 30 days of first_visit_date the encounter is a new patient visit.,Clinical Operations
fact_encounter,npi,fk,National Provider Identifier. Foreign key to dim_provider.,"Use to join provider name, specialty, credential, FTE, and primary location.",Clinical Operations
fact_encounter,location_id,fk,Foreign key to dim_location. The clinic where the encounter took place.,May differ from the provider's primary_location_id in dim_provider due to cross-coverage (providers seeing patients at multiple sites).,Clinical Operations
fact_encounter,specialty_id,fk,Foreign key to dim_specialty. The clinical specialty of the rendering provider.,Derived from the provider's specialty at encounter time. Use for specialty-level volume and productivity analysis.,Clinical Operations
fact_encounter,service_line_id,fk,Foreign key to dim_service_line. Broader service line grouping above specialty.,"Multiple specialties map to a single service line (e.g., Pediatrics and Family Medicine both map to Primary Care). Use for service line P&L analysis.",Clinical Operations
fact_encounter,payer_id,fk,Foreign key to dim_payer. The payer billed for this encounter.,Use payer_category from dim_payer for payer mix analysis. Use payer_name for contract-specific analysis.,Revenue Cycle
fact_encounter,encounter_type,dimension,"Category of clinical service: Office, Procedure, Imaging, Surgery, Telehealth.",Surgery and Procedure encounter types have significantly higher wRVU and charge values than Office visits. Filter carefully when comparing productivity across encounter types.,Clinical Operations
fact_encounter,cpt_code,dimension,Current Procedural Terminology code identifying the service rendered.,Synthetic CPT codes in this dataset. Use for grouping by service type but do not cross-reference against external CPT fee schedules.,Revenue Cycle
fact_encounter,units,measure,Number of units billed for the service.,Most encounters bill 1 unit. Procedure and imaging encounters may bill multiple units. Multiply by unit rate when calculating per-unit revenue.,Revenue Cycle
fact_encounter,wrvu,measure,Work Relative Value Units. Measures clinical work and complexity of the service rendered. Primary productivity metric for physician compensation benchmarking.,Does not reflect actual reimbursement or payment. Use charge_amount or join to fact_claim_month for financial analysis. wRVU varies significantly by specialty -- do not compare raw wRVU across specialties without normalizing for FTE and specialty mix.,Clinical Operations
fact_encounter,charge_amount,measure,"Gross charge billed to the payer before contractual adjustments, denials, or patient responsibility.",Gross charges are not a reliable revenue metric. Always use fact_claim_month.paid_amount_total for actual collected revenue. Charge amounts vary by payer class by design.,Revenue Cycle
fact_referral,referral_id,pk,Unique identifier for each referral order.,Surrogate key. No business meaning.,Revenue Cycle
fact_referral,encounter_id,fk,Foreign key to fact_encounter. The encounter during which the referral was placed.,One encounter can generate multiple referral rows. Join to fact_encounter for provider and specialty context on the referring visit.,Revenue Cycle
fact_referral,patient_id,fk,Foreign key to dim_patient.,Included for direct patient-level referral analysis without requiring the fact_encounter join.,Revenue Cycle
fact_referral,is_external,flag,1 = referral left the network (leakage). 0 = referral kept internal to the physician group.,Primary leakage flag. Leakage rate = SUM(is_external) / COUNT(referral_id). Revenue at risk is only populated for external referrals.,Revenue Cycle
fact_referral,in_network_flag,flag,1 = destination organization is contracted in-network. 0 = out of network.,An external referral (is_external=1) can still be in-network if sent to a contracted partner. Distinguish leakage (is_external) from network compliance (in_network_flag) -- related but not identical.,Revenue Cycle
fact_referral,revenue_at_risk,measure,Estimated revenue lost due to the referral leaving the network. Calculated as expected reimbursement for the referred specialty service.,Only populated for external referrals (is_external=1). Zero for internal referrals. Use SUM(revenue_at_risk) grouped by specialty or destination to prioritize leakage recovery.,Revenue Cycle
fact_referral,specialty_requested,fk,Foreign key to dim_specialty. The specialty the patient was referred to.,Use to identify which specialties have the highest external referral rates. Cardiology is the highest-leakage specialty in this dataset.,Clinical Operations
fact_referral,destination_id,fk,Foreign key to dim_referral_destination. The organization receiving the referral.,Only populated for external referrals. Join to dim_referral_destination for competitor_flag and organization name.,Revenue Cycle
fact_appointment,patient_id,fk,Foreign key to dim_patient.,Use to join patient demographics and age band to appointment volume analysis.,Clinical Operations
fact_appointment,npi,fk,National Provider Identifier. Foreign key to dim_provider.,Use to join provider specialty and location for scheduling analysis.,Clinical Operations
